"Sales" "Expenditures" "LocalExpenditures" "ProratedShare"
"1" 12.85 5.6 5.6 3.8
"2" 11.55 4.1 4.8 4.8
"3" 12.78 3.7 3.5 3.6
"4" 11.19 4.8 4.5 5.2
"5" 9 3.4 3.7 2.9
"6" 9.34 6.1 5.8 3.4
"7" 13.8 7.7 7.2 3.8
"8" 8.79 4 4 3.8
"9" 8.54 2.8 2.3 2.9
"10" 6.23 3.2 3 2.8
"11" 11.77 4.2 4.5 5.1
"12" 8.04 2.7 2.1 4.3
"13" 5.8 1.8 2.5 2.3
"14" 11.57 5 4.6 3.6
"15" 7.03 2.9 3.2 4
"16" 0.27 0 0.2 2.7
"17" 5.1 1.4 2.2 3.8
"18" 9.91 4.2 4.3 4.3
"19" 6.56 2.4 2.2 3.7
"20" 14.17 4.7 4.7 3.4
"21" 8.32 4.5 4.4 2.7
"22" 7.32 3.6 2.9 2.8
"23" 3.45 0.6 0.8 3.4
"24" 13.73 5.6 4.7 5.3
"25" 8.06 3.2 3.3 3.6
"26" 9.94 3.7 3.5 4.3
"27" 11.54 5.5 4.9 3.2
"28" 10.8 3 3.6 4.6
"29" 12.33 5.8 5 4.5
"30" 2.96 3.5 3.1 3
"31" 7.38 2.3 2 2.2
"32" 8.68 2 1.8 2.5
"33" 11.51 4.9 5.3 3.8
"34" 1.6 0.1 0.3 2.7
"35" 10.93 3.6 3.8 3.8
"36" 11.61 4.9 4.4 2.5
"37" 17.99 8.4 8.2 3.9
"38" 9.58 2.1 2.3 3.9
"39" 7.05 1.9 1.8 3.8
"40" 8.85 2.4 2 2.4
"41" 7.53 3.6 3.5 2.4
"42" 10.47 3.6 3.7 4.4
"43" 11.03 3.9 3.6 2.9
"44" 12.31 5.5 5 5.5
